"slide_number","role","layout","title","headline","body","call_to_action","icons","image_prompt","design_notes","voiceover","alt_text","website","logo_asset","background_hex","text_hex","accent_hex","filename","medical_review_required","copy_review_required"
"1","hook","hero","you are not alone","What every warrior should know about You Are Not Alone","A community-support entry reflecting the central ANW mission.","","brain | hearing | education","Create a 9:16 vertical social-media visual for Acoustic Neuroma Warrior. Slide role: hook. Layout direction: hero. Subject and visual concept: Create a 9:16 premium Acoustic Neuroma Warrior medical-awareness graphic. Topic: you are not alone. Slide role: hook. Use dark emerald green, white, cream, and soft sage. Use a strong readable title hierarchy, clean medical iconography, elegant botanical accents, and generous negative space. Include a small official ANW shield logo with white awareness ribbon. Include small subtle acousticneuromawarrior.com branding. Create a compassionate educational composition appropriate for editable text overlays. Do not render paragraphs or tiny text inside the artwork. Avoid graphic surgery, frightening imagery, exaggerated claims, and guaranteed outcomes. Visual identity: premium medical-awareness aesthetic; dark emerald green and white palette with soft sage accents; bold serif-led title hierarchy; clean medical iconography; subtle botanical accents; hopeful, compassionate, and trustworthy tone; small official ANW logo; small subtle website branding. Palette: emerald #0B4D3B, sage #A8BFAF, cream #F7F1E7, white #FFFFFF. Use the small ANW shield logo with white awareness ribbon. Reserve clean negative space for editable title, body, and CTA overlays. Do not render paragraphs or tiny text inside the generated artwork. Avoid frightening imagery, exaggerated medical claims, graphic surgery, or guaranteed outcomes. The emotional tone must be compassionate, hopeful, medically respectful, and trustworthy. Small branding reference: acousticneuromawarrior.com.","Use a large readable heading, clear visual hierarchy, generous spacing, accessible contrast, small ANW logo, and subtle acousticneuromawarrior.com branding. | Use Cormorant Garamond for titles and Montserrat for body copy. | Keep all important content inside the 72px left, 72px right, 120px top, and 150px bottom safe areas. | Footer: Acoustic Neuroma Warrior | acousticneuromawarrior.com.","A community-support entry reflecting the central ANW mission.","Acoustic Neuroma Warrior slide 1 of 10 about you are not alone. What every warrior should know about You Are Not Alone","acousticneuromawarrior.com","ANW shield logo with white awareness ribbon","#F7F1E7","#20322C","#0B4D3B","2026-07-27_ANW_Carousel_you-are-not-alone_9x16_S01_v01.png","true","false"
"2","introduction","editorial","Understanding You Are Not Alone","A community-support entry reflecting the central ANW mission.","Approved overview: A community-support entry reflecting the central ANW mission.","","brain | hearing | education","Create a 9:16 vertical social-media visual for Acoustic Neuroma Warrior. Slide role: introduction. Layout direction: editorial. Subject and visual concept: Create a 9:16 premium Acoustic Neuroma Warrior medical-awareness graphic. Topic: you are not alone. Slide role: introduction. Use dark emerald green, white, cream, and soft sage. Use a strong readable title hierarchy, clean medical iconography, elegant botanical accents, and generous negative space. Include a small official ANW shield logo with white awareness ribbon. Include small subtle acousticneuromawarrior.com branding. Create a compassionate educational composition appropriate for editable text overlays. Do not render paragraphs or tiny text inside the artwork. Avoid graphic surgery, frightening imagery, exaggerated claims, and guaranteed outcomes. Visual identity: premium medical-awareness aesthetic; dark emerald green and white palette with soft sage accents; bold serif-led title hierarchy; clean medical iconography; subtle botanical accents; hopeful, compassionate, and trustworthy tone; small official ANW logo; small subtle website branding. Palette: emerald #0B4D3B, sage #A8BFAF, cream #F7F1E7, white #FFFFFF. Use the small ANW shield logo with white awareness ribbon. Reserve clean negative space for editable title, body, and CTA overlays. Do not render paragraphs or tiny text inside the generated artwork. Avoid frightening imagery, exaggerated medical claims, graphic surgery, or guaranteed outcomes. The emotional tone must be compassionate, hopeful, medically respectful, and trustworthy. Small branding reference: acousticneuromawarrior.com.","Use a large readable heading, clear visual hierarchy, generous spacing, accessible contrast, small ANW logo, and subtle acousticneuromawarrior.com branding. | Use Cormorant Garamond for titles and Montserrat for body copy. | Keep all important content inside the 72px left, 72px right, 120px top, and 150px bottom safe areas. | Footer: Acoustic Neuroma Warrior | acousticneuromawarrior.com.","Approved overview: A community-support entry reflecting the central ANW mission.","Acoustic Neuroma Warrior slide 2 of 10 about you are not alone. A community-support entry reflecting the central ANW mission.","acousticneuromawarrior.com","ANW shield logo with white awareness ribbon","#F7F1E7","#20322C","#0B4D3B","2026-07-27_ANW_Carousel_you-are-not-alone_9x16_S02_v01.png","true","false"
"3","education","split-visual","What the Approved Knowledge Says","Start with reviewed, approved information","The reviewed knowledge explains: A community-support entry reflecting the central ANW mission.","","brain | hearing | education","Create a 9:16 vertical social-media visual for Acoustic Neuroma Warrior. Slide role: education. Layout direction: split-visual. Subject and visual concept: Create a 9:16 premium Acoustic Neuroma Warrior medical-awareness graphic. Topic: you are not alone. Slide role: education. Use dark emerald green, white, cream, and soft sage. Use a strong readable title hierarchy, clean medical iconography, elegant botanical accents, and generous negative space. Include a small official ANW shield logo with white awareness ribbon. Include small subtle acousticneuromawarrior.com branding. Create a compassionate educational composition appropriate for editable text overlays. Do not render paragraphs or tiny text inside the artwork. Avoid graphic surgery, frightening imagery, exaggerated claims, and guaranteed outcomes. Visual identity: premium medical-awareness aesthetic; dark emerald green and white palette with soft sage accents; bold serif-led title hierarchy; clean medical iconography; subtle botanical accents; hopeful, compassionate, and trustworthy tone; small official ANW logo; small subtle website branding. Palette: emerald #0B4D3B, sage #A8BFAF, cream #F7F1E7, white #FFFFFF. Use the small ANW shield logo with white awareness ribbon. Reserve clean negative space for editable title, body, and CTA overlays. Do not render paragraphs or tiny text inside the generated artwork. Avoid frightening imagery, exaggerated medical claims, graphic surgery, or guaranteed outcomes. The emotional tone must be compassionate, hopeful, medically respectful, and trustworthy. Small branding reference: acousticneuromawarrior.com.","Use a large readable heading, clear visual hierarchy, generous spacing, accessible contrast, small ANW logo, and subtle acousticneuromawarrior.com branding. | Use Cormorant Garamond for titles and Montserrat for body copy. | Keep all important content inside the 72px left, 72px right, 120px top, and 150px bottom safe areas. | Footer: Acoustic Neuroma Warrior | acousticneuromawarrior.com.","The reviewed knowledge explains: A community-support entry reflecting the central ANW mission.","Acoustic Neuroma Warrior slide 3 of 10 about you are not alone. Start with reviewed, approved information","acousticneuromawarrior.com","ANW shield logo with white awareness ribbon","#F7F1E7","#20322C","#0B4D3B","2026-07-27_ANW_Carousel_you-are-not-alone_9x16_S03_v01.png","true","false"
"4","education","split-visual","A Key Point to Understand","Break the topic into clear, manageable points","One approved point to understand is this: Acoustic Neuroma Warrior exists to help patients, survivors, caregivers, and families feel supported through education, practical resources, and compassionate community.","","brain | hearing | education","Create a 9:16 vertical social-media visual for Acoustic Neuroma Warrior. Slide role: education. Layout direction: split-visual. Subject and visual concept: Create a 9:16 premium Acoustic Neuroma Warrior medical-awareness graphic. Topic: you are not alone. Slide role: education. Use dark emerald green, white, cream, and soft sage. Use a strong readable title hierarchy, clean medical iconography, elegant botanical accents, and generous negative space. Include a small official ANW shield logo with white awareness ribbon. Include small subtle acousticneuromawarrior.com branding. Create a compassionate educational composition appropriate for editable text overlays. Do not render paragraphs or tiny text inside the artwork. Avoid graphic surgery, frightening imagery, exaggerated claims, and guaranteed outcomes. Visual identity: premium medical-awareness aesthetic; dark emerald green and white palette with soft sage accents; bold serif-led title hierarchy; clean medical iconography; subtle botanical accents; hopeful, compassionate, and trustworthy tone; small official ANW logo; small subtle website branding. Palette: emerald #0B4D3B, sage #A8BFAF, cream #F7F1E7, white #FFFFFF. Use the small ANW shield logo with white awareness ribbon. Reserve clean negative space for editable title, body, and CTA overlays. Do not render paragraphs or tiny text inside the generated artwork. Avoid frightening imagery, exaggerated medical claims, graphic surgery, or guaranteed outcomes. The emotional tone must be compassionate, hopeful, medically respectful, and trustworthy. Small branding reference: acousticneuromawarrior.com.","Use a large readable heading, clear visual hierarchy, generous spacing, accessible contrast, small ANW logo, and subtle acousticneuromawarrior.com branding. | Use Cormorant Garamond for titles and Montserrat for body copy. | Keep all important content inside the 72px left, 72px right, 120px top, and 150px bottom safe areas. | Footer: Acoustic Neuroma Warrior | acousticneuromawarrior.com.","One approved point to understand is this: Acoustic Neuroma Warrior exists to help patients, survivors, caregivers, and families feel supported through education, practical resources, and compassionate community.","Acoustic Neuroma Warrior slide 4 of 10 about you are not alone. Break the topic into clear, manageable points","acousticneuromawarrior.com","ANW shield logo with white awareness ribbon","#F7F1E7","#20322C","#0B4D3B","2026-07-27_ANW_Carousel_you-are-not-alone_9x16_S04_v01.png","true","false"
"5","tips","checklist","Questions Worth Asking","Write down questions for your healthcare team","Use this approved information to prepare questions: A community-support entry reflecting the central ANW mission.","","notes | question | medical-team","Create a 9:16 vertical social-media visual for Acoustic Neuroma Warrior. Slide role: tips. Layout direction: checklist. Subject and visual concept: Create a 9:16 premium Acoustic Neuroma Warrior medical-awareness graphic. Topic: you are not alone. Slide role: tips. Use dark emerald green, white, cream, and soft sage. Use a strong readable title hierarchy, clean medical iconography, elegant botanical accents, and generous negative space. Include a small official ANW shield logo with white awareness ribbon. Include small subtle acousticneuromawarrior.com branding. Create a compassionate educational composition appropriate for editable text overlays. Do not render paragraphs or tiny text inside the artwork. Avoid graphic surgery, frightening imagery, exaggerated claims, and guaranteed outcomes. Visual identity: premium medical-awareness aesthetic; dark emerald green and white palette with soft sage accents; bold serif-led title hierarchy; clean medical iconography; subtle botanical accents; hopeful, compassionate, and trustworthy tone; small official ANW logo; small subtle website branding. Palette: emerald #0B4D3B, sage #A8BFAF, cream #F7F1E7, white #FFFFFF. Use the small ANW shield logo with white awareness ribbon. Reserve clean negative space for editable title, body, and CTA overlays. Do not render paragraphs or tiny text inside the generated artwork. Avoid frightening imagery, exaggerated medical claims, graphic surgery, or guaranteed outcomes. The emotional tone must be compassionate, hopeful, medically respectful, and trustworthy. Small branding reference: acousticneuromawarrior.com.","Use a large readable heading, clear visual hierarchy, generous spacing, accessible contrast, small ANW logo, and subtle acousticneuromawarrior.com branding. | Use Cormorant Garamond for titles and Montserrat for body copy. | Keep all important content inside the 72px left, 72px right, 120px top, and 150px bottom safe areas. | Footer: Acoustic Neuroma Warrior | acousticneuromawarrior.com.","Use this approved information to prepare questions: A community-support entry reflecting the central ANW mission.","Acoustic Neuroma Warrior slide 5 of 10 about you are not alone. Write down questions for your healthcare team","acousticneuromawarrior.com","ANW shield logo with white awareness ribbon","#F7F1E7","#20322C","#0B4D3B","2026-07-27_ANW_Carousel_you-are-not-alone_9x16_S05_v01.png","true","false"
"6","education","split-visual","Why Trusted Information Matters","Personal experiences and needs can differ","For clearer understanding, keep this reviewed point in mind: Acoustic Neuroma Warrior exists to help patients, survivors, caregivers, and families feel supported through education, practical resources, and compassionate community.","","brain | hearing | education","Create a 9:16 vertical social-media visual for Acoustic Neuroma Warrior. Slide role: education. Layout direction: split-visual. Subject and visual concept: Create a 9:16 premium Acoustic Neuroma Warrior medical-awareness graphic. Topic: you are not alone. Slide role: education. Use dark emerald green, white, cream, and soft sage. Use a strong readable title hierarchy, clean medical iconography, elegant botanical accents, and generous negative space. Include a small official ANW shield logo with white awareness ribbon. Include small subtle acousticneuromawarrior.com branding. Create a compassionate educational composition appropriate for editable text overlays. Do not render paragraphs or tiny text inside the artwork. Avoid graphic surgery, frightening imagery, exaggerated claims, and guaranteed outcomes. Visual identity: premium medical-awareness aesthetic; dark emerald green and white palette with soft sage accents; bold serif-led title hierarchy; clean medical iconography; subtle botanical accents; hopeful, compassionate, and trustworthy tone; small official ANW logo; small subtle website branding. Palette: emerald #0B4D3B, sage #A8BFAF, cream #F7F1E7, white #FFFFFF. Use the small ANW shield logo with white awareness ribbon. Reserve clean negative space for editable title, body, and CTA overlays. Do not render paragraphs or tiny text inside the generated artwork. Avoid frightening imagery, exaggerated medical claims, graphic surgery, or guaranteed outcomes. The emotional tone must be compassionate, hopeful, medically respectful, and trustworthy. Small branding reference: acousticneuromawarrior.com.","Use a large readable heading, clear visual hierarchy, generous spacing, accessible contrast, small ANW logo, and subtle acousticneuromawarrior.com branding. | Use Cormorant Garamond for titles and Montserrat for body copy. | Keep all important content inside the 72px left, 72px right, 120px top, and 150px bottom safe areas. | Footer: Acoustic Neuroma Warrior | acousticneuromawarrior.com.","For clearer understanding, keep this reviewed point in mind: Acoustic Neuroma Warrior exists to help patients, survivors, caregivers, and families feel supported through education, practical resources, and compassionate community.","Acoustic Neuroma Warrior slide 6 of 10 about you are not alone. Personal experiences and needs can differ","acousticneuromawarrior.com","ANW shield logo with white awareness ribbon","#F7F1E7","#20322C","#0B4D3B","2026-07-27_ANW_Carousel_you-are-not-alone_9x16_S06_v01.png","true","false"
"7","survivor-insight","survivor-quote","Every Experience Is Individual","Reliable education can make conversations easier","Every experience is individual. The approved context says: A community-support entry reflecting the central ANW mission.","","brain | hearing | education","Create a 9:16 vertical social-media visual for Acoustic Neuroma Warrior. Slide role: survivor-insight. Layout direction: survivor-quote. Subject and visual concept: Create a 9:16 premium Acoustic Neuroma Warrior medical-awareness graphic. Topic: you are not alone. Slide role: survivor-insight. Use dark emerald green, white, cream, and soft sage. Use a strong readable title hierarchy, clean medical iconography, elegant botanical accents, and generous negative space. Include a small official ANW shield logo with white awareness ribbon. Include small subtle acousticneuromawarrior.com branding. Create a compassionate educational composition appropriate for editable text overlays. Do not render paragraphs or tiny text inside the artwork. Avoid graphic surgery, frightening imagery, exaggerated claims, and guaranteed outcomes. Visual identity: premium medical-awareness aesthetic; dark emerald green and white palette with soft sage accents; bold serif-led title hierarchy; clean medical iconography; subtle botanical accents; hopeful, compassionate, and trustworthy tone; small official ANW logo; small subtle website branding. Palette: emerald #0B4D3B, sage #A8BFAF, cream #F7F1E7, white #FFFFFF. Use the small ANW shield logo with white awareness ribbon. Reserve clean negative space for editable title, body, and CTA overlays. Do not render paragraphs or tiny text inside the generated artwork. Avoid frightening imagery, exaggerated medical claims, graphic surgery, or guaranteed outcomes. The emotional tone must be compassionate, hopeful, medically respectful, and trustworthy. Small branding reference: acousticneuromawarrior.com.","Use a large readable heading, clear visual hierarchy, generous spacing, accessible contrast, small ANW logo, and subtle acousticneuromawarrior.com branding. | Use Cormorant Garamond for titles and Montserrat for body copy. | Keep all important content inside the 72px left, 72px right, 120px top, and 150px bottom safe areas. | Footer: Acoustic Neuroma Warrior | acousticneuromawarrior.com.","Every experience is individual. The approved context says: A community-support entry reflecting the central ANW mission.","Acoustic Neuroma Warrior slide 7 of 10 about you are not alone. Reliable education can make conversations easier","acousticneuromawarrior.com","ANW shield logo with white awareness ribbon","#F7F1E7","#20322C","#0B4D3B","2026-07-27_ANW_Carousel_you-are-not-alone_9x16_S07_v01.png","true","false"
"8","education","split-visual","Preparing for Your Next Conversation","Use this information to support—not replace—medical care","Before making personal medical decisions, discuss this reviewed information with your healthcare team: Acoustic Neuroma Warrior exists to help patients, survivors, caregivers, and families feel supported through education, practical resources, and compassiona…","","brain | hearing | education","Create a 9:16 vertical social-media visual for Acoustic Neuroma Warrior. Slide role: education. Layout direction: split-visual. Subject and visual concept: Create a 9:16 premium Acoustic Neuroma Warrior medical-awareness graphic. Topic: you are not alone. Slide role: education. Use dark emerald green, white, cream, and soft sage. Use a strong readable title hierarchy, clean medical iconography, elegant botanical accents, and generous negative space. Include a small official ANW shield logo with white awareness ribbon. Include small subtle acousticneuromawarrior.com branding. Create a compassionate educational composition appropriate for editable text overlays. Do not render paragraphs or tiny text inside the artwork. Avoid graphic surgery, frightening imagery, exaggerated claims, and guaranteed outcomes. Visual identity: premium medical-awareness aesthetic; dark emerald green and white palette with soft sage accents; bold serif-led title hierarchy; clean medical iconography; subtle botanical accents; hopeful, compassionate, and trustworthy tone; small official ANW logo; small subtle website branding. Palette: emerald #0B4D3B, sage #A8BFAF, cream #F7F1E7, white #FFFFFF. Use the small ANW shield logo with white awareness ribbon. Reserve clean negative space for editable title, body, and CTA overlays. Do not render paragraphs or tiny text inside the generated artwork. Avoid frightening imagery, exaggerated medical claims, graphic surgery, or guaranteed outcomes. The emotional tone must be compassionate, hopeful, medically respectful, and trustworthy. Small branding reference: acousticneuromawarrior.com.","Use a large readable heading, clear visual hierarchy, generous spacing, accessible contrast, small ANW logo, and subtle acousticneuromawarrior.com branding. | Use Cormorant Garamond for titles and Montserrat for body copy. | Keep all important content inside the 72px left, 72px right, 120px top, and 150px bottom safe areas. | Footer: Acoustic Neuroma Warrior | acousticneuromawarrior.com.","Before making personal medical decisions, discuss this reviewed information with your healthcare team: Acoustic Neuroma Warrior exists to help patients, survivors, caregivers, and families feel supported through education, practical resources, and compassiona…","Acoustic Neuroma Warrior slide 8 of 10 about you are not alone. Use this information to support—not replace—medical care","acousticneuromawarrior.com","ANW shield logo with white awareness ribbon","#F7F1E7","#20322C","#0B4D3B","2026-07-27_ANW_Carousel_you-are-not-alone_9x16_S08_v01.png","true","false"
"9","takeaways","summary","Key Takeaways","Keep the most important information close","Remember these approved points: A community-support entry reflecting the central ANW mission. Acoustic Neuroma Warrior exists to help patients, survivors, caregivers, and families feel supported through education, practical resources, and compassionate commun…","","brain | hearing | education","Create a 9:16 vertical social-media visual for Acoustic Neuroma Warrior. Slide role: takeaways. Layout direction: summary. Subject and visual concept: Create a 9:16 premium Acoustic Neuroma Warrior medical-awareness graphic. Topic: you are not alone. Slide role: takeaways. Use dark emerald green, white, cream, and soft sage. Use a strong readable title hierarchy, clean medical iconography, elegant botanical accents, and generous negative space. Include a small official ANW shield logo with white awareness ribbon. Include small subtle acousticneuromawarrior.com branding. Create a compassionate educational composition appropriate for editable text overlays. Do not render paragraphs or tiny text inside the artwork. Avoid graphic surgery, frightening imagery, exaggerated claims, and guaranteed outcomes. Visual identity: premium medical-awareness aesthetic; dark emerald green and white palette with soft sage accents; bold serif-led title hierarchy; clean medical iconography; subtle botanical accents; hopeful, compassionate, and trustworthy tone; small official ANW logo; small subtle website branding. Palette: emerald #0B4D3B, sage #A8BFAF, cream #F7F1E7, white #FFFFFF. Use the small ANW shield logo with white awareness ribbon. Reserve clean negative space for editable title, body, and CTA overlays. Do not render paragraphs or tiny text inside the generated artwork. Avoid frightening imagery, exaggerated medical claims, graphic surgery, or guaranteed outcomes. The emotional tone must be compassionate, hopeful, medically respectful, and trustworthy. Small branding reference: acousticneuromawarrior.com.","Use a large readable heading, clear visual hierarchy, generous spacing, accessible contrast, small ANW logo, and subtle acousticneuromawarrior.com branding. | Use Cormorant Garamond for titles and Montserrat for body copy. | Keep all important content inside the 72px left, 72px right, 120px top, and 150px bottom safe areas. | Footer: Acoustic Neuroma Warrior | acousticneuromawarrior.com.","Remember these approved points: A community-support entry reflecting the central ANW mission. Acoustic Neuroma Warrior exists to help patients, survivors, caregivers, and families feel supported through education, practical resources, and compassionate commun…","Acoustic Neuroma Warrior slide 9 of 10 about you are not alone. Keep the most important information close","acousticneuromawarrior.com","ANW shield logo with white awareness ribbon","#F7F1E7","#20322C","#0B4D3B","2026-07-27_ANW_Carousel_you-are-not-alone_9x16_S09_v01.png","true","false"
"10","cta","call-to-action","You Are Not Alone","Support, education, and hope","Continue learning, write down your questions, and discuss personal medical decisions with your healthcare team.","Visit acousticneuromawarrior.com","heart | support | community","Create a 9:16 vertical social-media visual for Acoustic Neuroma Warrior. Slide role: cta. Layout direction: call-to-action. Subject and visual concept: Create a 9:16 premium Acoustic Neuroma Warrior medical-awareness graphic. Topic: you are not alone. Slide role: cta. Use dark emerald green, white, cream, and soft sage. Use a strong readable title hierarchy, clean medical iconography, elegant botanical accents, and generous negative space. Include a small official ANW shield logo with white awareness ribbon. Include small subtle acousticneuromawarrior.com branding. Create a hopeful closing composition centered on the message ""You Are Not Alone."" Do not render paragraphs or tiny text inside the artwork. Avoid graphic surgery, frightening imagery, exaggerated claims, and guaranteed outcomes. Visual identity: premium medical-awareness aesthetic; dark emerald green and white palette with soft sage accents; bold serif-led title hierarchy; clean medical iconography; subtle botanical accents; hopeful, compassionate, and trustworthy tone; small official ANW logo; small subtle website branding. Palette: emerald #0B4D3B, sage #A8BFAF, cream #F7F1E7, white #FFFFFF. Use the small ANW shield logo with white awareness ribbon. Reserve clean negative space for editable title, body, and CTA overlays. Do not render paragraphs or tiny text inside the generated artwork. Avoid frightening imagery, exaggerated medical claims, graphic surgery, or guaranteed outcomes. The emotional tone must be compassionate, hopeful, medically respectful, and trustworthy. Small branding reference: acousticneuromawarrior.com.","Use a large readable heading, clear visual hierarchy, generous spacing, accessible contrast, small ANW logo, and subtle acousticneuromawarrior.com branding. | Use Cormorant Garamond for titles and Montserrat for body copy. | Keep all important content inside the 72px left, 72px right, 120px top, and 150px bottom safe areas. | Footer: Acoustic Neuroma Warrior | acousticneuromawarrior.com.","You are not alone in this journey. Continue learning and bring your personal questions to your healthcare team.","Acoustic Neuroma Warrior slide 10 of 10 about you are not alone. Support, education, and hope","acousticneuromawarrior.com","ANW shield logo with white awareness ribbon","#F7F1E7","#20322C","#0B4D3B","2026-07-27_ANW_Carousel_you-are-not-alone_9x16_S10_v01.png","true","false"
