"slide_number","role","layout","title","headline","body","call_to_action","icons","image_prompt","design_notes","voiceover","alt_text","website","logo_asset","background_hex","text_hex","accent_hex","filename","medical_review_required","copy_review_required"
"1","hook","hero","one-sided hearing loss","A community-support entry reflecting the central ANW mission.","Acoustic Neuroma Warrior exists to help patients, survivors, caregivers, and families feel supported through education, practical resources, and compassionate community.","","brain | heart | support","Create a 9:16 vertical social-media visual for Acoustic Neuroma Warrior. Slide role: hook. Layout direction: hero. Subject and visual concept: Create a 9:16 premium Acoustic Neuroma Warrior medical-awareness graphic using dark emerald green, white, and soft sage. Include a small ANW shield logo and subtle acousticneuromawarrior.com branding. Visual identity: premium medical-awareness aesthetic; dark emerald green and white palette with soft sage accents; bold serif-led title hierarchy; clean medical iconography; subtle botanical accents; hopeful, compassionate, and trustworthy tone; small official ANW logo; small subtle website branding. Palette: emerald #0B4D3B, sage #A8BFAF, cream #F7F1E7, white #FFFFFF. Use the small ANW shield logo with white awareness ribbon. Reserve clean negative space for editable title, body, and CTA overlays. Do not render paragraphs or tiny text inside the generated artwork. Avoid frightening imagery, exaggerated medical claims, graphic surgery, or guaranteed outcomes. The emotional tone must be compassionate, hopeful, medically respectful, and trustworthy. Small branding reference: acousticneuromawarrior.com.","Use a large readable heading, clean visual hierarchy, generous spacing, compassionate imagery, and small website branding. | Use Cormorant Garamond for titles and Montserrat for body copy. | Keep all important content inside the 72px left, 72px right, 120px top, and 150px bottom safe areas. | Footer: Acoustic Neuroma Warrior | acousticneuromawarrior.com.","A community-support entry reflecting the central ANW mission.","Acoustic Neuroma Warrior educational slide 1 about one-sided hearing loss.","acousticneuromawarrior.com","ANW shield logo with white awareness ribbon","#F7F1E7","#20322C","#0B4D3B","2026-07-27_ANW_Carousel_one-sided-hearing-loss_9x16_S01_v01.png","true","false"
"2","introduction","editorial","You Are Not Alone - 1","A community-support entry reflecting the central ANW mission.","Acoustic Neuroma Warrior exists to help patients, survivors, caregivers, and families feel supported through education, practical resources, and compassionate community.","","brain | heart | support","Create a 9:16 vertical social-media visual for Acoustic Neuroma Warrior. Slide role: introduction. Layout direction: editorial. Subject and visual concept: Create a 9:16 premium Acoustic Neuroma Warrior medical-awareness graphic using dark emerald green, white, and soft sage. Include a small ANW shield logo and subtle acousticneuromawarrior.com branding. Visual identity: premium medical-awareness aesthetic; dark emerald green and white palette with soft sage accents; bold serif-led title hierarchy; clean medical iconography; subtle botanical accents; hopeful, compassionate, and trustworthy tone; small official ANW logo; small subtle website branding. Palette: emerald #0B4D3B, sage #A8BFAF, cream #F7F1E7, white #FFFFFF. Use the small ANW shield logo with white awareness ribbon. Reserve clean negative space for editable title, body, and CTA overlays. Do not render paragraphs or tiny text inside the generated artwork. Avoid frightening imagery, exaggerated medical claims, graphic surgery, or guaranteed outcomes. The emotional tone must be compassionate, hopeful, medically respectful, and trustworthy. Small branding reference: acousticneuromawarrior.com.","Use a large readable heading, clean visual hierarchy, generous spacing, compassionate imagery, and small website branding. | Use Cormorant Garamond for titles and Montserrat for body copy. | Keep all important content inside the 72px left, 72px right, 120px top, and 150px bottom safe areas. | Footer: Acoustic Neuroma Warrior | acousticneuromawarrior.com.","A community-support entry reflecting the central ANW mission.","Acoustic Neuroma Warrior educational slide 2 about one-sided hearing loss.","acousticneuromawarrior.com","ANW shield logo with white awareness ribbon","#F7F1E7","#20322C","#0B4D3B","2026-07-27_ANW_Carousel_one-sided-hearing-loss_9x16_S02_v01.png","true","false"
"3","education","split-visual","You Are Not Alone - 2","A community-support entry reflecting the central ANW mission.","Acoustic Neuroma Warrior exists to help patients, survivors, caregivers, and families feel supported through education, practical resources, and compassionate community.","","brain | heart | support","Create a 9:16 vertical social-media visual for Acoustic Neuroma Warrior. Slide role: education. Layout direction: split-visual. Subject and visual concept: Create a 9:16 premium Acoustic Neuroma Warrior medical-awareness graphic using dark emerald green, white, and soft sage. Include a small ANW shield logo and subtle acousticneuromawarrior.com branding. Visual identity: premium medical-awareness aesthetic; dark emerald green and white palette with soft sage accents; bold serif-led title hierarchy; clean medical iconography; subtle botanical accents; hopeful, compassionate, and trustworthy tone; small official ANW logo; small subtle website branding. Palette: emerald #0B4D3B, sage #A8BFAF, cream #F7F1E7, white #FFFFFF. Use the small ANW shield logo with white awareness ribbon. Reserve clean negative space for editable title, body, and CTA overlays. Do not render paragraphs or tiny text inside the generated artwork. Avoid frightening imagery, exaggerated medical claims, graphic surgery, or guaranteed outcomes. The emotional tone must be compassionate, hopeful, medically respectful, and trustworthy. Small branding reference: acousticneuromawarrior.com.","Use a large readable heading, clean visual hierarchy, generous spacing, compassionate imagery, and small website branding. | Use Cormorant Garamond for titles and Montserrat for body copy. | Keep all important content inside the 72px left, 72px right, 120px top, and 150px bottom safe areas. | Footer: Acoustic Neuroma Warrior | acousticneuromawarrior.com.","A community-support entry reflecting the central ANW mission.","Acoustic Neuroma Warrior educational slide 3 about one-sided hearing loss.","acousticneuromawarrior.com","ANW shield logo with white awareness ribbon","#F7F1E7","#20322C","#0B4D3B","2026-07-27_ANW_Carousel_one-sided-hearing-loss_9x16_S03_v01.png","true","false"
"4","education","split-visual","You Are Not Alone - 3","A community-support entry reflecting the central ANW mission.","Acoustic Neuroma Warrior exists to help patients, survivors, caregivers, and families feel supported through education, practical resources, and compassionate community.","","brain | heart | support","Create a 9:16 vertical social-media visual for Acoustic Neuroma Warrior. Slide role: education. Layout direction: split-visual. Subject and visual concept: Create a 9:16 premium Acoustic Neuroma Warrior medical-awareness graphic using dark emerald green, white, and soft sage. Include a small ANW shield logo and subtle acousticneuromawarrior.com branding. Visual identity: premium medical-awareness aesthetic; dark emerald green and white palette with soft sage accents; bold serif-led title hierarchy; clean medical iconography; subtle botanical accents; hopeful, compassionate, and trustworthy tone; small official ANW logo; small subtle website branding. Palette: emerald #0B4D3B, sage #A8BFAF, cream #F7F1E7, white #FFFFFF. Use the small ANW shield logo with white awareness ribbon. Reserve clean negative space for editable title, body, and CTA overlays. Do not render paragraphs or tiny text inside the generated artwork. Avoid frightening imagery, exaggerated medical claims, graphic surgery, or guaranteed outcomes. The emotional tone must be compassionate, hopeful, medically respectful, and trustworthy. Small branding reference: acousticneuromawarrior.com.","Use a large readable heading, clean visual hierarchy, generous spacing, compassionate imagery, and small website branding. | Use Cormorant Garamond for titles and Montserrat for body copy. | Keep all important content inside the 72px left, 72px right, 120px top, and 150px bottom safe areas. | Footer: Acoustic Neuroma Warrior | acousticneuromawarrior.com.","A community-support entry reflecting the central ANW mission.","Acoustic Neuroma Warrior educational slide 4 about one-sided hearing loss.","acousticneuromawarrior.com","ANW shield logo with white awareness ribbon","#F7F1E7","#20322C","#0B4D3B","2026-07-27_ANW_Carousel_one-sided-hearing-loss_9x16_S04_v01.png","true","false"
"5","education","split-visual","You Are Not Alone - 4","A community-support entry reflecting the central ANW mission.","Acoustic Neuroma Warrior exists to help patients, survivors, caregivers, and families feel supported through education, practical resources, and compassionate community.","","brain | heart | support","Create a 9:16 vertical social-media visual for Acoustic Neuroma Warrior. Slide role: education. Layout direction: split-visual. Subject and visual concept: Create a 9:16 premium Acoustic Neuroma Warrior medical-awareness graphic using dark emerald green, white, and soft sage. Include a small ANW shield logo and subtle acousticneuromawarrior.com branding. Visual identity: premium medical-awareness aesthetic; dark emerald green and white palette with soft sage accents; bold serif-led title hierarchy; clean medical iconography; subtle botanical accents; hopeful, compassionate, and trustworthy tone; small official ANW logo; small subtle website branding. Palette: emerald #0B4D3B, sage #A8BFAF, cream #F7F1E7, white #FFFFFF. Use the small ANW shield logo with white awareness ribbon. Reserve clean negative space for editable title, body, and CTA overlays. Do not render paragraphs or tiny text inside the generated artwork. Avoid frightening imagery, exaggerated medical claims, graphic surgery, or guaranteed outcomes. The emotional tone must be compassionate, hopeful, medically respectful, and trustworthy. Small branding reference: acousticneuromawarrior.com.","Use a large readable heading, clean visual hierarchy, generous spacing, compassionate imagery, and small website branding. | Use Cormorant Garamond for titles and Montserrat for body copy. | Keep all important content inside the 72px left, 72px right, 120px top, and 150px bottom safe areas. | Footer: Acoustic Neuroma Warrior | acousticneuromawarrior.com.","A community-support entry reflecting the central ANW mission.","Acoustic Neuroma Warrior educational slide 5 about one-sided hearing loss.","acousticneuromawarrior.com","ANW shield logo with white awareness ribbon","#F7F1E7","#20322C","#0B4D3B","2026-07-27_ANW_Carousel_one-sided-hearing-loss_9x16_S05_v01.png","true","false"
"6","education","split-visual","You Are Not Alone - 5","A community-support entry reflecting the central ANW mission.","Acoustic Neuroma Warrior exists to help patients, survivors, caregivers, and families feel supported through education, practical resources, and compassionate community.","","brain | heart | support","Create a 9:16 vertical social-media visual for Acoustic Neuroma Warrior. Slide role: education. Layout direction: split-visual. Subject and visual concept: Create a 9:16 premium Acoustic Neuroma Warrior medical-awareness graphic using dark emerald green, white, and soft sage. Include a small ANW shield logo and subtle acousticneuromawarrior.com branding. Visual identity: premium medical-awareness aesthetic; dark emerald green and white palette with soft sage accents; bold serif-led title hierarchy; clean medical iconography; subtle botanical accents; hopeful, compassionate, and trustworthy tone; small official ANW logo; small subtle website branding. Palette: emerald #0B4D3B, sage #A8BFAF, cream #F7F1E7, white #FFFFFF. Use the small ANW shield logo with white awareness ribbon. Reserve clean negative space for editable title, body, and CTA overlays. Do not render paragraphs or tiny text inside the generated artwork. Avoid frightening imagery, exaggerated medical claims, graphic surgery, or guaranteed outcomes. The emotional tone must be compassionate, hopeful, medically respectful, and trustworthy. Small branding reference: acousticneuromawarrior.com.","Use a large readable heading, clean visual hierarchy, generous spacing, compassionate imagery, and small website branding. | Use Cormorant Garamond for titles and Montserrat for body copy. | Keep all important content inside the 72px left, 72px right, 120px top, and 150px bottom safe areas. | Footer: Acoustic Neuroma Warrior | acousticneuromawarrior.com.","A community-support entry reflecting the central ANW mission.","Acoustic Neuroma Warrior educational slide 6 about one-sided hearing loss.","acousticneuromawarrior.com","ANW shield logo with white awareness ribbon","#F7F1E7","#20322C","#0B4D3B","2026-07-27_ANW_Carousel_one-sided-hearing-loss_9x16_S06_v01.png","true","false"
"7","education","split-visual","You Are Not Alone - 6","A community-support entry reflecting the central ANW mission.","Acoustic Neuroma Warrior exists to help patients, survivors, caregivers, and families feel supported through education, practical resources, and compassionate community.","","brain | heart | support","Create a 9:16 vertical social-media visual for Acoustic Neuroma Warrior. Slide role: education. Layout direction: split-visual. Subject and visual concept: Create a 9:16 premium Acoustic Neuroma Warrior medical-awareness graphic using dark emerald green, white, and soft sage. Include a small ANW shield logo and subtle acousticneuromawarrior.com branding. Visual identity: premium medical-awareness aesthetic; dark emerald green and white palette with soft sage accents; bold serif-led title hierarchy; clean medical iconography; subtle botanical accents; hopeful, compassionate, and trustworthy tone; small official ANW logo; small subtle website branding. Palette: emerald #0B4D3B, sage #A8BFAF, cream #F7F1E7, white #FFFFFF. Use the small ANW shield logo with white awareness ribbon. Reserve clean negative space for editable title, body, and CTA overlays. Do not render paragraphs or tiny text inside the generated artwork. Avoid frightening imagery, exaggerated medical claims, graphic surgery, or guaranteed outcomes. The emotional tone must be compassionate, hopeful, medically respectful, and trustworthy. Small branding reference: acousticneuromawarrior.com.","Use a large readable heading, clean visual hierarchy, generous spacing, compassionate imagery, and small website branding. | Use Cormorant Garamond for titles and Montserrat for body copy. | Keep all important content inside the 72px left, 72px right, 120px top, and 150px bottom safe areas. | Footer: Acoustic Neuroma Warrior | acousticneuromawarrior.com.","A community-support entry reflecting the central ANW mission.","Acoustic Neuroma Warrior educational slide 7 about one-sided hearing loss.","acousticneuromawarrior.com","ANW shield logo with white awareness ribbon","#F7F1E7","#20322C","#0B4D3B","2026-07-27_ANW_Carousel_one-sided-hearing-loss_9x16_S07_v01.png","true","false"
"8","education","split-visual","You Are Not Alone - 7","A community-support entry reflecting the central ANW mission.","Acoustic Neuroma Warrior exists to help patients, survivors, caregivers, and families feel supported through education, practical resources, and compassionate community.","","brain | heart | support","Create a 9:16 vertical social-media visual for Acoustic Neuroma Warrior. Slide role: education. Layout direction: split-visual. Subject and visual concept: Create a 9:16 premium Acoustic Neuroma Warrior medical-awareness graphic using dark emerald green, white, and soft sage. Include a small ANW shield logo and subtle acousticneuromawarrior.com branding. Visual identity: premium medical-awareness aesthetic; dark emerald green and white palette with soft sage accents; bold serif-led title hierarchy; clean medical iconography; subtle botanical accents; hopeful, compassionate, and trustworthy tone; small official ANW logo; small subtle website branding. Palette: emerald #0B4D3B, sage #A8BFAF, cream #F7F1E7, white #FFFFFF. Use the small ANW shield logo with white awareness ribbon. Reserve clean negative space for editable title, body, and CTA overlays. Do not render paragraphs or tiny text inside the generated artwork. Avoid frightening imagery, exaggerated medical claims, graphic surgery, or guaranteed outcomes. The emotional tone must be compassionate, hopeful, medically respectful, and trustworthy. Small branding reference: acousticneuromawarrior.com.","Use a large readable heading, clean visual hierarchy, generous spacing, compassionate imagery, and small website branding. | Use Cormorant Garamond for titles and Montserrat for body copy. | Keep all important content inside the 72px left, 72px right, 120px top, and 150px bottom safe areas. | Footer: Acoustic Neuroma Warrior | acousticneuromawarrior.com.","A community-support entry reflecting the central ANW mission.","Acoustic Neuroma Warrior educational slide 8 about one-sided hearing loss.","acousticneuromawarrior.com","ANW shield logo with white awareness ribbon","#F7F1E7","#20322C","#0B4D3B","2026-07-27_ANW_Carousel_one-sided-hearing-loss_9x16_S08_v01.png","true","false"
"9","takeaways","summary","You Are Not Alone - 8","A community-support entry reflecting the central ANW mission.","Acoustic Neuroma Warrior exists to help patients, survivors, caregivers, and families feel supported through education, practical resources, and compassionate community.","","brain | heart | support","Create a 9:16 vertical social-media visual for Acoustic Neuroma Warrior. Slide role: takeaways. Layout direction: summary. Subject and visual concept: Create a 9:16 premium Acoustic Neuroma Warrior medical-awareness graphic using dark emerald green, white, and soft sage. Include a small ANW shield logo and subtle acousticneuromawarrior.com branding. Visual identity: premium medical-awareness aesthetic; dark emerald green and white palette with soft sage accents; bold serif-led title hierarchy; clean medical iconography; subtle botanical accents; hopeful, compassionate, and trustworthy tone; small official ANW logo; small subtle website branding. Palette: emerald #0B4D3B, sage #A8BFAF, cream #F7F1E7, white #FFFFFF. Use the small ANW shield logo with white awareness ribbon. Reserve clean negative space for editable title, body, and CTA overlays. Do not render paragraphs or tiny text inside the generated artwork. Avoid frightening imagery, exaggerated medical claims, graphic surgery, or guaranteed outcomes. The emotional tone must be compassionate, hopeful, medically respectful, and trustworthy. Small branding reference: acousticneuromawarrior.com.","Use a large readable heading, clean visual hierarchy, generous spacing, compassionate imagery, and small website branding. | Use Cormorant Garamond for titles and Montserrat for body copy. | Keep all important content inside the 72px left, 72px right, 120px top, and 150px bottom safe areas. | Footer: Acoustic Neuroma Warrior | acousticneuromawarrior.com.","A community-support entry reflecting the central ANW mission.","Acoustic Neuroma Warrior educational slide 9 about one-sided hearing loss.","acousticneuromawarrior.com","ANW shield logo with white awareness ribbon","#F7F1E7","#20322C","#0B4D3B","2026-07-27_ANW_Carousel_one-sided-hearing-loss_9x16_S09_v01.png","true","false"
"10","cta","call-to-action","You Are Not Alone","Support, education, and hope","Continue learning and discuss personal medical decisions with your healthcare team.","Visit acousticneuromawarrior.com","brain | heart | support","Create a 9:16 vertical social-media visual for Acoustic Neuroma Warrior. Slide role: cta. Layout direction: call-to-action. Subject and visual concept: Create a 9:16 premium Acoustic Neuroma Warrior medical-awareness graphic using dark emerald green, white, and soft sage. Include a small ANW shield logo and subtle acousticneuromawarrior.com branding. Visual identity: premium medical-awareness aesthetic; dark emerald green and white palette with soft sage accents; bold serif-led title hierarchy; clean medical iconography; subtle botanical accents; hopeful, compassionate, and trustworthy tone; small official ANW logo; small subtle website branding. Palette: emerald #0B4D3B, sage #A8BFAF, cream #F7F1E7, white #FFFFFF. Use the small ANW shield logo with white awareness ribbon. Reserve clean negative space for editable title, body, and CTA overlays. Do not render paragraphs or tiny text inside the generated artwork. Avoid frightening imagery, exaggerated medical claims, graphic surgery, or guaranteed outcomes. The emotional tone must be compassionate, hopeful, medically respectful, and trustworthy. Small branding reference: acousticneuromawarrior.com.","Use a large readable heading, clean visual hierarchy, generous spacing, compassionate imagery, and small website branding. | Use Cormorant Garamond for titles and Montserrat for body copy. | Keep all important content inside the 72px left, 72px right, 120px top, and 150px bottom safe areas. | Footer: Acoustic Neuroma Warrior | acousticneuromawarrior.com.","You are not alone in this journey.","Acoustic Neuroma Warrior educational slide 10 about one-sided hearing loss.","acousticneuromawarrior.com","ANW shield logo with white awareness ribbon","#F7F1E7","#20322C","#0B4D3B","2026-07-27_ANW_Carousel_one-sided-hearing-loss_9x16_S10_v01.png","true","false"
